street	roadway	direction	from_point	from_offset_feet	from_offset_direction	to_point	to_offset_feet	to_offset_direction	length_feet	exception	location_detail	notes	source_text
Jasset Street			Faxon Street			California Street							Jasset Street, from Faxon Street to California Street.
Jefferson Street			Centre Street	205	east	Williams Street							Jefferson Street, from a point 205 feet east of Centre Street to Williams Street.
Jewett Street			Washington Street			Pearl Street							Jewett Street, from Washington Street to Pearl Street.
Langley Road			Centre Street			Sumner Street							Langley Road, from Centre Street to Sumner Street.
Melrose Avenue			Lexington Street			Melrose Street							Melrose Avenue, from Lexington Street to Melrose Street.
Murphy Court		westbound	Adams Street			Hawthorn Street							Murphy Court, from Adams Street westerly to Hawthorn Street.
Neshobe Road			Samoset Road			Washington Street							Neshobe Road, from Samoset Road to Washington Street.
Nonantum Street			Shornecliffe Road			Waverley Avenue							Nonantum Street, from Shornecliffe Road to Waverley Avenue.
Page Road		westbound	Lowell Avenue			Walker Street							Page Road: (1) from Lowell Avenue westerly to Walker Street.
Page Road		eastbound	Lowell Avenue			Walnut Street							Page Road: (2) from Lowell Avenue easterly to Walnut Street.
Park Place			Cabot Street			Washington Park							Park Place, from Cabot Street to Washington Park.
Park Street	east roadway		Franklin Street			Church Street					at Kenrick Park		Park Street: (1) east roadway at Kenrick Park from Franklin Street to Church Street.
Park Street	west roadway		Church Street			Franklin Street					at Kenrick Park		Park Street: (2) west roadway at Kenrick Park from Church Street to Franklin Street.
Park Street			Church Street			Vernon Street							Park Street: (3) from Church Street to Vernon Street.
Pelham Street			Centre Street			Crescent Avenue							Pelham Street, from Centre Street to Crescent Avenue.
Pleasant Street			Crescent Avenue			Centre Street							Pleasant Street, from Crescent Avenue to Centre Street.
Reservoir Avenue			Hammond Street			Beacon Street							Reservoir Avenue, from Hammond Street to Beacon Street.
Roslyn Road		southeastbound	Gammons Road			Beacon Street							Roslyn Road, from Gammons Road southeasterly to Beacon Street.
Short Street			Chestnut Street			Beacon Street							Short Street, from Chestnut Street to Beacon Street.
Station Avenue			Walnut Street			Lake Avenue							Station Avenue, from Walnut Street to Lake Avenue.
Stein Circle	loop portion	counterclockwise											Stein Circle, loop portion, counterclockwise direction.
Sumner Street			Ward Street			Commonwealth Avenue							Sumner Street: (1) from Ward Street to Commonwealth Avenue.
Sumner Street			Beacon Street			Willow Street							Sumner Street: (2) from Beacon Street to Willow Street.
Sumner Street			Willow Street	50	north	Willow Street							Sumner Street: (3) from a point 50 feet north of Willow Street, to Willow Street.
Union Street		eastbound	Herrick Road			Beacon Street							Union Street, from Herrick Road easterly to Beacon Street.
Vernon Street			Baldwin Street			Centre Street	325	east					Vernon Street: (1) from Baldwin Street to a point 325 feet east of Centre Street.
Vernon Street			Park Street			Waverley Avenue							Vernon Street: (2) from Park Street to Waverley Avenue.
Waban Avenue		southbound	Beacon Street			Collins Road							Waban Avenue, southbound, from Beacon Street to Collins Road.
Waban Park	loop portion	counterclockwise											Waban Park, loop portion, counterclockwise direction.
Walnut Park	loop portion	counterclockwise											Walnut Park, loop portion, counterclockwise direction.
Ward Street			Hammond Street			Manet Road							Ward Street, from Hammond Street to Manet Road.
Warren Avenue			Webster Street			River Street					Ward 3		Warren Avenue, from Webster Street to River Street, Ward 3.
Warren Street		westbound	Glen Avenue			Langley Road							Warren Street, from Glen Avenue westerly to Langley Road.
Washington Park	North Drive		Harvard Street			Park Place							Washington Park: (1) North Drive from Harvard Street to Park Place.
Washington Park	South Drive		Park Place			Harvard Street							Washington Park: (2) South Drive from Park Place to Harvard Street.
Washington Street			Centre Street			westerly end of the loop at Newton Corner							Washington Street: (1) from Centre Street to the westerly end of the loop at Newton Corner.
Washington Street		northbound	Centre Street	100	south	Centre Street							Washington Street: (2) northerly from a point 100 feet south of Centre Street to Centre Street.
Washington Street		northbound	Centre Street			Charlesbank Road					bridge over Turnpike		Washington Street: (3) northerly from Centre Street to Charlesbank Road (bridge over Turnpike).
Washington Street		westbound	Elm Street			Simms Court							Washington Street: (4) from Elm Street westerly to Simms Court.
Washington Street		eastbound	Perkins Street			opposite Elm Street							Washington Street: (5) from Perkins Street easterly to opposite Elm Street.
