street	direction	cross_street	offset_feet	offset_direction	offset_from	location_detail	notes	source_text
Chesterfield Road	southbound	Commonwealth Avenue, South Drive						Chesterfield Road at Commonwealth Avenue, South Drive, southbound.
Chestnut Hill Road	southwestbound	Hammond Street						Chestnut Hill Road at Hammond Street, southwestbound.
Chestnut Street	northbound,southbound	Boylston Street				northbound at the eastbound ramp and southbound at the westbound ramp		Chestnut Street at Boylston Street, northbound at the eastbound ramp and southbound at the westbound ramp.
Chestnut Street	northbound,southbound	Highland Street						Chestnut Street at Highland Street, northbound and southbound.
Chestnut Terrace	northbound	Commonwealth Avenue, South Drive						Chestnut Terrace at Commonwealth Avenue, South Drive, northbound.
Cheswick Road	northbound	Commonwealth Avenue, South Drive						Cheswick Road at Commonwealth Avenue, South Drive, northbound.
Cheswick Road	southbound	Woodland Road						Cheswick Road at Woodland Road, southbound.
Church Street	eastbound,westbound	Eldredge Street						Church Street at Eldredge Street, eastbound and westbound.
Church Street	eastbound,westbound	Park Street						Church Street at Park Street, eastbound and westbound.
Churchill Street	eastbound,westbound	Broadway						Churchill Street at Broadway, eastbound and westbound.
Churchill Street	eastbound	Nevada Street						Churchill Street at Nevada Street, eastbound.
Claflin Place	westbound	Walnut Street						Claflin Place at Walnut Street, westbound.
Clarendon Street	southbound	Cabot Street						Clarendon Street at Cabot Street, southbound.
Clarendon Street	northbound	Norwood Avenue						Clarendon Street at Norwood Avenue, northbound.
Clark Street	northbound	Centre Street						Clark Street at Centre Street, northbound.
Clark Street	southbound	Rowena Road				on the traffic island at the northwest corner of the intersection		Clark Street southbound on the traffic island at the northwest corner of the Clark Street and Rowena Road intersection.
Clark Street	eastbound	westbound entrance ramp of Route 9						Clark Street at the westbound entrance ramp of Route 9, eastbound.
Clements Road	westbound	Cotton Street						Clements Road at Cotton Street, westbound.
Clements Road	eastbound	Waverley Avenue						Clements Road at Waverley Avenue, eastbound.
Clifton Road	southwestbound	Redwood Road						Clifton Road at Redwood Road, southwestbound.
Clifton Road	northbound	Hartman Road						Clifton Road northbound at Hartman Road.
Clinton Street	eastbound	Adams Street						Clinton Street at Adams Street, eastbound.
Clinton Street	westbound	Crafts Street						Clinton Street at Crafts Street, westbound.
Clinton Street	eastbound,westbound	Hawthorn Street						Clinton Street at Hawthorn Street, eastbound and westbound.
Cloverdale Road	northbound	Clark Street						Cloverdale Road at Clark Street, northbound.
Cloverdale Road	northbound,westbound	Miller Road						Cloverdale Road at Miller Road, northbound and westbound.
Cobb Place	eastbound	Dwhinda Road						Cobb Place at Dwhinda Road, eastbound.
Cobb Place	westbound	Dwhinda Road						Cobb Place at Dwhinda Road, westbound.
Cochituate Road	westbound	Plymouth Road						Cochituate Road at Plymouth Road, westbound.
Colby Street	eastbound	Centre Street						Colby Street at Centre Street, eastbound.
Colby Street	westbound	Rochester Road and Westchester Road						Colby Street at Rochester Road and Westchester Road, westbound.
Colgate Road	westbound	Grove Street						Colgate Road at Grove Street, westbound.
College Road	northbound	Commonwealth Avenue, South Drive						College Road at Commonwealth Avenue, South Drive, northbound.
Collins Road	northbound	Chestnut Street						Collins Road at Chestnut Street, northbound.
Collins Road	westbound	Devonshire Road						Collins Road at Devonshire Road, westbound.
Collins Road	westbound	Fenwick Road						Collins Road at Fenwick Road, westbound.
Collins Road	northbound	Waban Avenue						Collins Road at Waban Avenue, northbound.
Columbia Avenue	eastbound	Winchester Street						Columbia Avenue at Winchester Street eastbound.
Columbus Street	northbound,southbound	Forest Street						Columbus Street at Forest Street, northbound and southbound.
