street	direction	cross_street	offset_feet	offset_direction	offset_from	location_detail	notes	source_text
Maple Street	eastbound	Nonantum Road						Maple Street at Nonantum Road, eastbound.
Maple Street	southbound	Woodland Road						Maple Street at Woodland Road, southbound.
Marcellus Drive	eastbound	Parker Street						Marcellus Drive at Parker Street, eastbound.
Marlboro Street	northbound,southbound	Arlington Street						Marlboro Street at Arlington Street, northbound and southbound.
Marriott Hotel Driveway	southbound	Commonwealth Avenue North Drive						Marriott Hotel Driveway at Commonwealth Avenue North Drive, southerly.
Marriott Hotel Driveway	southbound	Commonwealth Avenue, South Drive						Marriott Hotel Driveway at Commonwealth Avenue, South Drive, southbound.
Marshall Street	westbound	Sumner Street						Marshall Street, westbound, at Sumner Street.
Marshfield Road	northwestbound	Jackson Street						Marshfield Road at Jackson Street, northwestbound.
Mary Mount Road	eastbound	Washington Street						Mary Mount Road at Washington Street, eastbound.
Mason Road	eastbound	Commonwealth Avenue, South Drive						Mason Road at Commonwealth Avenue, South Drive, eastbound.
Maynard Street	westbound	Morrill Street						Maynard Street westbound at Morrill Street.
McCarthy Road	southeastbound	Saw Mill Brook Parkway						McCarthy Road at Saw Mill Brook Parkway, southeastbound.
McCarthy Road	northwestbound	Wiswall Road						McCarthy Road at Wiswall Road, northwestbound.
Meadowbrook Road	southwestbound	Dedham Street						Meadowbrook Road at Dedham Street, southwestbound.
Meadowbrook Road	all	Wheeler Road						Meadowbrook Road at Wheeler Road, all directions.
Mechanic Street	northbound	Elliot Street						Mechanic Street at Elliot Street, northbound.
Melina Road	westbound	Parker Street						Melina Road at Parker Street, westbound.
Melrose Street	southbound	Ash Street						Melrose Street and Ash Street, southbound.
Melrose Street	southbound	Auburn Street						Melrose Street at Auburn Street, southbound.
Melrose Street, Staniford Street and West Pine Street	all							Melrose Street, Staniford Street and West Pine Street, all directions.
Metacomet Road	northbound	Dorset Road						Metacomet Road at Dorset Road, northbound.
Middle Street	westbound	Adams Street						Middle Street at Adams Street, westbound.
Middlesex Road	westbound	Hammond Street						Middlesex Road at Hammond Street, westbound.
Mildred Road	northwestbound	Elinor Road						Mildred Road at Elinor Road, northwestbound.
Mildred Road	southbound	Truman Road						Mildred Road at Truman Road, southbound.
Mill Street	eastbound	Centre Street						Mill Street at Centre Street, eastbound.
Mill Street	westbound	Walnut Street						Mill Street at Walnut Street, westbound.
Miller Road	eastbound	Cloverdale Road						Miller Road at Cloverdale Road, eastbound.
Milo Street	southbound	Derby Street						Milo Street at Derby Street, southbound.
Moffat Road	eastbound	Chestnut Street						Moffat Road at Chestnut Street, eastbound.
Moffat Road	westbound	Windsor Road						Moffat Road at Windsor Road, westbound.
Monadnock Road	eastbound,westbound	Hammondswood Road						Monadnock Road at Hammondswood Road, eastbound and westbound.
Monadnock Road	northwestbound,southeastbound	Wachusett Road						Monadnock Road at Wachusett Road, northwestbound and southeastbound.
Montclair Road		Short Street and Beacon Street						Montclair Road at the intersection with Short Street and Beacon Street.
Montrose Street	westbound	Waverley Avenue						Montrose Street at Waverley Avenue, westbound.
Moreland Avenue	eastbound	Pine Crest Road						Moreland Avenue at Pine Crest Road, eastbound.
Morseland Avenue	westbound	Commonwealth Avenue, North Drive						Morseland Avenue at Commonwealth Avenue, North Drive, westbound.
Morseland Avenue	southbound	Commonwealth Avenue, South Drive						Morseland Avenue at Commonwealth Avenue, South Drive, southbound.
Morton Street	southbound	Commonwealth Avenue, North Drive						Morton Street at Commonwealth Avenue, North Drive, southbound.
Morton Street	southbound	Commonwealth Avenue South Drive						Morton Street at Commonwealth Avenue South Drive, southbound.
Morton Street	northbound	Commonwealth Avenue, South Drive						Morton Street at Commonwealth Avenue, South Drive, northbound.
Morton Street	southbound	Homer Street						Morton Street at Homer Street, southbound.
Morton Street	northwestbound	Mill Street						Morton Street at Mill Street, northwestbound.
Mountfort Road	southbound	Lincoln Street						Mountfort Road at Lincoln Street, southbound.
Mt. Ida Street	eastbound	Centre Street						Mt. Ida Street at Centre Street, eastbound.
Mt. Ida Street	southbound	Newtonville Avenue						Mt. Ida Street at Newtonville Avenue, southbound.
Mt. Vernon Street	eastbound,westbound	Allston Street						Mt. Vernon Street at Allston Street, eastbound and westbound.
Mt. Vernon Street	northeastbound	Austin Street				Ward 2		Mt. Vernon Street at Austin Street, Ward 2, northeastbound.
Munroe Street	northwestbound	Newtonville Avenue						Munroe Street at Newtonville Avenue, northwestbound.
Murray Road	southbound	Webster Street						Murray Road at Webster Street, southbound.
Myrtle Street	southeastbound	Temple Street						Myrtle Street at Temple Street, southeastbound.
Myrtle Street	northwestbound	Washington Street						Myrtle Street at Washington Street, northwestbound.
Nardone Road	westbound	Great Meadow Road						Nardone Road at Great Meadow Road, westbound.
Nathan Road	eastbound	Centre Street						Nathan Road at Centre Street, eastbound.
Nathan Road	westbound	Commonwealth Avenue, North Drive						Nathan Road at Commonwealth Avenue, North Drive, westbound.
Nehoiden Road	northbound	Beacon Street						Nehoiden Road at Beacon Street, northbound.
Nehoiden Road	eastbound,westbound	Carlton Road						Nehoiden Road at Carlton Road, eastbound and westbound.
Nehoiden Road	southbound	Waban Avenue						Nehoiden Road at Waban Avenue, southbound.
Nevada Street	northbound	Albemarle Road						Nevada Street at Albemarle Road, northbound.
Nevada Street	northbound,southbound	Linwood Avenue						Nevada Street at Linwood Avenue, northbound and southbound.
Nevada Street	southbound	Watertown Street						Nevada Street at Watertown Street, southbound.
Newell Road	southeastbound	Auburndale Avenue						Newell Road at Auburndale Avenue, southeastbound.
Newtonville Avenue	southeastbound	Centre Street						Newtonville Avenue at Centre Street, southeastbound.
Newtonville Avenue	westbound	Walnut Street						Newtonville Avenue at Walnut Street, westbound.
Nobscot Road	southbound	Commonwealth Avenue, North Drive						Nobscot Road at Commonwealth Avenue, North Drive, southbound.
Nonantum Street	westbound	Waverley Avenue						Nonantum Street at Waverley Avenue, westbound.
North Street	northbound	Commonwealth Avenue, South Drive						North Street at Commonwealth Avenue, South Drive, northbound.
Norwood Avenue	eastbound	Crescent Avenue						Norwood Avenue at Crescent Avenue, eastbound.
Oak Street	northbound	Elliot Street						Oak Street at Elliot Street, northbound.
Oak Cliff Road	westbound	Valentine Street						Oak Cliff Road at Valentine Street, westbound.
Oak Hill Street	southwestbound	Dedham Street						Oak Hill Street at Dedham Street, southwestbound.
Oak Hill Street	northbound,southbound	Old Farm Road						Oak Hill Street at Old Farm Road, northbound and southbound.
Oak Vale	eastbound	Chestnut Street						Oak Vale at Chestnut Street, eastbound.
Oakland Avenue	northbound	Commonwealth Avenue, South Drive						Oakland Avenue at Commonwealth Avenue, South Drive, northbound.
Oakland Street	northbound	Church Street						Oakland Street at Church Street, northbound.
Oakland Street	southbound	Newtonville Avenue						Oakland Street at Newtonville Avenue, southbound.
Oakwood Road	eastbound,westbound	Upland Road						Oakwood Road at Upland Road, eastbound and westbound.
Old Colony Road	northbound	College Road						Old Colony Road at College Road, northbound.
Old Colony Road	southbound	Quincy Road						Old Colony Road at Quincy Road, southbound.
Old Farm Road	eastbound,westbound	Oak Hill Street				Ward 8		Old Farm Road at Oak Hill Street, Ward 8, eastbound and westbound.
Old Orchard Road	northbound	Hammond Street						Old Orchard Road at Hammond Street, northbound.
Olde Field Road	northbound	Boylston Street						Olde Field Road at Boylston Street, northbound.
Olde Field Road	southbound	Brandeis Road				Ward 8		Olde Field Road at Brandeis Road, Ward 8, southbound.
Olde Field Road	northbound,southbound	Hagen Road						Olde Field Road at Hagen Road, northbound and southbound.
Olde Field Road	northbound,southbound	Haynes Road						Olde Field Road at Haynes Road, northbound and southbound.
Oldham Road	southbound	Commonwealth Avenue, North Drive						Oldham Road at Commonwealth Avenue, North Drive, southbound.
Oldham Road	southbound	Commonwealth Avenue, South Drive						Oldham Road at Commonwealth Avenue, South Drive, southbound
Orris Street	eastbound	Newell Road						Orris Street at Newell Road, eastbound.
Ossippee Road	eastbound,westbound	Linden Street						Ossippee Road at Linden Street, eastbound and westbound.
Otis Street	westbound	Chestnut Street						Otis Street at Chestnut Street, westbound.
Otis Street	eastbound	Walnut Street						Otis Street at Walnut Street, eastbound.
Owatonna Street	northbound	Chaske Avenue						Owatonna Street at Chaske Avenue, northbound.
Park Avenue	northbound,southbound	Cotton Street						Park Avenue at Cotton Street, northbound and southbound.
Park Avenue	northbound	Sargent Street						Park Avenue at Sargent Street, northbound.
Park Lane	westbound	Greenlawn Avenue						Park Lane at Greenlawn Avenue, westbound.
Park Lane	eastbound	Pleasant Street						Park Lane at Pleasant Street, eastbound.
Park Street	northbound	Church Street						Park Street at Church Street, northbound.
Park Street	northbound	Franklin Street				eastern intersection		Park Street at Franklin Street, northbound (eastern intersection).
Park Street	southbound	Franklin Street				western intersection		Park Street at Franklin Street, southbound (western intersection).
Park Street	southbound	Vernon Street						Park Street at Vernon Street, southbound.
Parker Avenue	eastbound	Parker Street						Parker Avenue at Parker Street, eastbound.
Parker Road	eastbound	Parker Street						Parker Road at Parker Street, eastbound.
Parker Street	southbound	Dedham Street						Parker Street at Dedham Street, southbound.
Parker Terrace	westbound	Parker Street						Parker Terrace at Parker Street, westbound.
Parmenter Road	southbound	Derby Street						Parmenter Road at Derby Street, southbound.
Parsons Street	southbound	Washington Street						Parsons Street at Washington Street, southbound.
Paul Street	westbound	Centre Street						Paul Street at Centre Street, westbound.
Paul Street	eastbound	Cypress Street						Paul Street at Cypress Street, eastbound.
Paulson Road	northwestbound,southeastbound	Evelyn Road						Paulson Road at Evelyn Road, northwestbound and southeastbound.
Peabody Street	northbound	Pearl Street						Peabody Street at Pearl Street, northbound.
Peabody Street	southbound	Washington Street						Peabody Street at Washington Street, southbound.
Pearl Street	eastbound,westbound	Jewett Street						Pearl Street at Jewett Street, eastbound and westbound.
Peirce Elementary School parking lot	southbound	Ruane Road						Peirce Elementary School parking lot, southbound at Ruane Road.
Pelham Street	northwestbound	Crescent Avenue				Ward 6		Pelham Street at Crescent Avenue, Ward 6, northwestbound.
Pembroke Street	northeastbound,southwestbound	Arlington Street						Pembroke Street at Arlington Street, northeastbound and southwestbound.
Pershing Road	southbound	Adams Avenue						Pershing Road at Adams Avenue, southbound.
Pettee Street	southbound	High Street						Pettee Street at High Street, southbound.
Philip Bram Way	northbound	Austin Street						Philip Bram Way at Austin Street, northbound.
Philip Bram Way	southbound	Highland Avenue						Philip Bram Way at Highland Avenue, southbound.
Pine Ridge Road	eastbound	Allen Avenue						Pine Ridge Road at Allen Avenue, eastbound.
Pine Ridge Road	eastbound,westbound	Chestnut Street						Pine Ridge Road at Chestnut Street, eastbound and westbound.
Pine Ridge Road	eastbound,westbound	Upland Road						Pine Ridge Road at Upland Road, eastbound and westbound.
Pine Ridge Road	westbound	Woodward Street						Pine Ridge Road at Woodward Street, westbound.
Pine Street	northbound	River Street						Pine Street at River Street, northbound.
Pine Street	southwestbound	Washburn Avenue						Pine Street at Washburn Avenue, southwestbound.
Plainfield Street	eastbound	Allen Avenue						Plainfield Street at Allen Avenue, eastbound.
Plainfield Street	eastbound,westbound	Upland Road						Plainfield Street at Upland Road, eastbound and westbound.
Pleasant Street	eastbound	Centre Street						Pleasant Street at Centre Street, eastbound.
Pleasant Street	northbound	Homer Street						Pleasant Street at Homer Street, northbound.
Pleasant Street	southbound,westbound	Lake Avenue						Pleasant Street at Lake Avenue, southbound and westbound.
Plymouth Road	southbound	Woodward Street						Plymouth Road at Woodward Street, southbound.
Pond Brook Road	northbound,southbound	Brookline Street						Pond Brook Road at Brookline Street, northbound and southbound.
Prairie Avenue	northbound,southbound	Auburndale Avenue						Prairie Avenue at Auburndale Avenue, northbound and southbound.
Prentice Road	southbound	Commonwealth Avenue, North Drive						Prentice Road at Commonwealth Avenue, North Drive, southbound.
Prescott Street	eastbound,westbound	Central Avenue						Prescott Street at Central Avenue, eastbound and westbound.
Prince Street	northbound,southbound	Berkeley Street						Prince Street at Berkeley Street, northbound and southbound.
Prince Street	eastbound,westbound	Chestnut Street						Prince Street at Chestnut Street, eastbound and westbound.
Prince Street	southbound	Commonwealth Avenue, North Drive						Prince Street at Commonwealth Avenue, North Drive, southbound.
Prince Street	southbound	Commonwealth Avenue, South Drive						Prince Street at Commonwealth Avenue, South Drive, southbound.
Prince Street	northbound	Temple Street						Prince Street northbound at Temple Street.
Priscilla Road	southbound	Hammond Street						Priscilla Road at Hammond Street, southbound.
Priscilla Road	eastbound	Old Colony Road						Priscilla Road at Old Colony Road, eastbound.
Proctor Street	westbound	Walker Street						Proctor Street at Walker Street, westbound.
Prospect Avenue	westbound	Beaumont Avenue						Prospect Avenue at Beaumont Avenue, westbound.
Prospect Street	southbound	Temple Street						Prospect Street at Temple Street, southbound.
Puritan Road	westbound	Beethoven Avenue						Puritan Road at Beethoven Avenue, westbound.
Putnam Street	southbound	Temple Street						Putnam Street at Temple Street, southbound.
Quincy Road	westbound	Priscilla Road						Quincy Road at Priscilla Road, westbound.
Rachel Road	eastbound	Dedham Street						Rachel Road at Dedham Street, eastbound.
Rachel Road	westbound	Winchester Street						Rachel Road at Winchester Street, westbound.
Radcliff Road	eastbound	Tamworth road						Radcliff Road at Tamworth road, eastbound.
Randlett Park	westbound	Waltham Street						Randlett Park at Waltham Street, westbound.
Randlett Park	southeastbound	Watertown Street						Randlett Park at Watertown Street, southeastbound.
Randolph Street	eastbound	Woodward Street						Randolph Street at Woodward Street, eastbound.
Ransom Road	southbound	Commonwealth Avenue, North Drive						Ransom Road at Commonwealth Avenue, North Drive, southbound.
Read Court	northbound	Commonwealth Avenue, South Drive						Read Court at Commonwealth Avenue, South Drive, northbound.
Redwood Road	southbound	Brookline Street						Redwood Road at Brookline Street, southbound.
Redwood Road	northbound	Hartman Road						Redwood Road at Hartman Road, northbound.
Reservoir Avenue	northbound	Beacon Street						Reservoir Avenue at Beacon Street, northbound.
Reservoir Avenue	northbound	Lee Road						Reservoir Avenue at Lee Road, northbound.
Reservoir Drive	westbound	Woodlawn Drive						Reservoir Drive at Woodlawn Drive, westbound.
Richardson Street	eastbound	Centre Street						Richardson Street at Centre Street, eastbound.
Richardson Street	westbound	Church Street						Richardson Street, at Church Street, westbound.
Richmond Road	eastbound	Centre Street						Richmond Road at Centre Street, eastbound.
Ridge Avenue	westbound	Parker Street						Ridge Avenue at Parker Street, westbound.
Risley Road	southbound	Commonwealth Avenue, North Drive						Risley Road at Commonwealth Avenue, North Drive, southbound.
River Street	eastbound,westbound	Auburndale Avenue						River Street at Auburndale Avenue, eastbound and westbound.
River Street	eastbound	Waltham Street						River Street at Waltham Street, eastbound.
Robinhood Street	southbound	Commonwealth Avenue, North Drive						Robinhood Street at Commonwealth Avenue, North Drive, southbound.
Robinhood Street	southbound	Commonwealth Avenue, South Drive						Robinhood Street at Commonwealth Avenue, South Drive, southbound.
Rogers Street	eastbound	Allerton Road						Rogers Street at Allerton Road, eastbound.
Rogers Street	northbound	Lake Avenue						Rogers Street at Lake Avenue, northbound.
Roland Street	northeastbound	Charlemont Street						Roland Street and Charlemont Street, northeastbound.
Roland Street	westbound	Christina Street						Roland Street at Christina Street, westbound.
Roosevelt Road	southeastbound	Brandeis Road						Roosevelt Road at Brandeis Road, southeastbound.
Roosevelt Road	westbound	Parker Street						Roosevelt Road at Parker Street, westbound.
Rosalie Road	eastbound,westbound	Country Club Road						Rosalie Road at Country Club Road, eastbound and westbound.
Rosalie Road	southbound	Dedham Street						Rosalie Road at Dedham Street, southbound.
Rosalie Road	northbound	Hartman Road						Rosalie Road at Hartman Road, northbound.
Rowe Street	northbound	Auburndale Avenue						Rowe Street at Auburndale Avenue, northbound.
Rowe Street	southbound	Commonwealth Avenue, North Drive						Rowe Street at Commonwealth Avenue, North Drive, southbound.
Rowe Street	southbound	Commonwealth Avenue, South Drive				easterly intersection		Rowe Street at Commonwealth Avenue, South Drive, southbound (easterly intersection).
Rowe Street	southbound	Commonwealth Avenue, South Drive				westerly intersection		Rowe Street at Commonwealth Avenue, South Drive, southbound (westerly intersection).
Rowe Street	all	Rowe Street						Rowe Street at Rowe Street, all directions.
Rowe Street	northbound,southbound	Webster Street						Rowe Street at Webster Street, northbound and southbound.
Rowena Road	eastbound	Clark Street						Rowena Road at Clark Street, eastbound.
Ruane Road	southbound	Commonwealth Avenue, North Drive						Ruane Road at Commonwealth Avenue, North Drive, southbound.
Sargent Street	westbound	Park Street						Sargent Street at Park Street, westbound.
School Street	southbound	Pearl Street						School Street at Pearl Street, southbound.
Scotney Road	eastbound	Dorcar Road						Scotney Road at Dorcar Road, eastbound.
Selwyn Road	northbound,southbound	Mildred Road						Selwyn Road at Mildred Road, northbound and southbound.
Seminary Avenue	northbound	Woodland Road						Seminary Avenue at Woodland Road, northbound.
Seton Hill Road	eastbound	Washington Street						Seton Hill Road at Washington Street, eastbound.
Shady Hill Road	northbound,southbound	Stony Brae Road						Shady Hill Road at Stony Brae Road, northbound and southbound.
Shamrock Street	northbound,southbound	Clinton Street						Shamrock Street at Clinton Street, northbound and southbound.
Sheffield Road	northbound	Highland Street				easterly approach		Sheffield Road at Highland Street, easterly approach, northbound.
Sheffield Road	northbound	Highland Street				westerly approach		Sheffield Road at Highland Street, westerly approach, northbound.
Sheridan Street	northbound,southbound	Adams Avenue						Sheridan Street at Adams Avenue, northbound and southbound.
Sheridan Street	northbound	Derby Street						Sheridan Street at Derby Street, northbound.
Sheridan Street	southbound	River Street						Sheridan Street at River Street, southbound.
Shornecliffe Road	northbound,southwestbound	Franklin Street						Shornecliffe Road at Franklin Street, northbound and southwestbound.
Shornecliffe Road	northbound	Nonantum Street						Shornecliffe Road at Nonantum Street, northbound.
Short Street	southbound	Beacon Street						Short Street at Beacon Street, southbound.
Silver Lake Avenue	eastbound	Adams Street						Silver Lake Avenue at Adams Street, eastbound.
Silver Lake Avenue	westbound	Adams Street						Silver Lake Avenue at Adams Street, westbound.
Smith Avenue	southbound	River Street						Smith Avenue at River Street, southbound.
Solon Street	westbound	Walnut Street				northern intersection		Solon Street, westbound at Walnut Street (northern intersection).
Spaulding Lane	westbound	Brookline Street						Spaulding Lane at Brookline Street, westbound.
Spiers Road	northeastbound	Dedham Street						Spiers Road at Dedham Street, northeastbound.
St. James Terrace	southbound	Charlesbank Road						St. James Terrace at Charlesbank Road, southbound.
Staniford Street	eastbound	Lexington Street						Staniford Street at Lexington Street, eastbound.
Stanley Road	westbound	Chestnut Street						Stanley Road at Chestnut Street, westbound.
Stanton Avenue	northwestbound	Washington Street				northern intersection		Stanton Avenue at Washington Street, northwestbound (northern intersection).
Stanton Avenue	westbound	Washington Street				southern intersection		Stanton Avenue at Washington Street, westbound (southern intersection).
Station Avenue	northbound	Lake Avenue						Station Avenue northbound at Lake Avenue.
Stearns Street	eastbound	Parker Street						Stearns Street at Parker Street, eastbound.
Stein Circle	southbound	Saw Mill Brook Parkway						Stein Circle at Saw Mill Brook Parkway, southbound.
Sterling Street	southbound	Berkeley Street						Sterling Street at Berkeley Street, southbound.
Stone Avenue	southwestbound	Hammond Street				Ward 6		Stone Avenue at Hammond Street, Ward 6, southwestbound.
Stoneleigh Road	southbound	Furbush Avenue						Stoneleigh Road at Furbush Avenue, southbound.
Stony Brae Road	eastbound	Walnut Street						Stony Brae Road, eastbound at Walnut Street.
Stony Brae Road	southbound	Dedham Street						Stony Brae Road at Dedham Street, southbound.
Stony Brae Road	northbound,southbound	Shady Hill Road						Stony Brae Road at Shady Hill Road, northbound and southbound.
Stuart Road	northbound	Cotton Street						Stuart Road at Cotton Street, northbound.
Studio Road	northbound	Woodland Road						Studio Road at Woodland Road, northbound.
Suffolk Road	eastbound	Hammond Street						Suffolk Road at Hammond Street, eastbound.
Summer Street	westbound	Chestnut Street						Summer Street at Chestnut Street, westbound.
Summit Street	southbound	Bellevue Street						Summit Street at Bellevue Street, southbound.
Summit Street	eastbound	Newtonville Avenue						Summit Street at Newtonville Avenue, eastbound.
Sumner Street	southbound	Commonwealth Avenue, North Drive						Sumner Street at Commonwealth Avenue, North Drive, southbound.
Sumner Street	northbound	Commonwealth Avenue, South Drive						Sumner Street at Commonwealth Avenue, South Drive, northbound.
Sumner Street	southbound	Commonwealth Avenue, South Drive						Sumner Street at Commonwealth Avenue, South Drive, southbound.
Sumner Street	southbound	Willow Street						Sumner Street at Willow Street, southbound.
Swallow Drive	westbound	Baker Place						Swallow Drive at Baker Place, westbound.
Sylvan Avenue	southbound	Bigelow Road						Sylvan Avenue at Bigelow Road, southbound.
Sylvan Avenue	westbound	Lenox Street						Sylvan Avenue at Lenox Street, westbound.
Tamworth Road	eastbound	Chestnut Street						Tamworth Road at Chestnut Street, eastbound.
Temple Street	southbound	Fuller Street						Temple Street southbound at Fuller Street.
Temple Street	southbound	Commonwealth Avenue, North Drive						Temple Street at Commonwealth Avenue, North Drive, southbound.
Temple Street	northbound	Commonwealth Avenue, South Drive						Temple Street at Commonwealth Avenue, South Drive, northbound.
Temple Street	southbound	Commonwealth Avenue, South Drive						Temple Street at Commonwealth Avenue, South Drive, southbound.
Temple Street	eastbound	Highland Street						Temple Street at Highland Street, eastbound.
Terrace Avenue	northbound	Duncklee Street						Terrace Avenue at Duncklee Street, northbound.
Terrace Avenue	southwestbound	Hillside Road						Terrace Avenue at Hillside Road, southwestbound.
Theodore Road	westbound	Parker Street						Theodore Road at Parker Street, westbound.
Theodore Road	northbound,southbound	Roosevelt Road						Theodore Road at Roosevelt Road, northbound and southbound.
Thornton Street	northbound	Pearl Street						Thornton Street at Pearl Street, northbound.
Thornton Street	southbound	Washington Street						Thornton Street at Washington Street, southbound.
Thurston Road	eastbound	Circuit Avenue						Thurston Road at Circuit Avenue, eastbound.
Tirrell Crescent	westbound	Dorcar Road						Tirrell Crescent at Dorcar Road, westbound.
Tolman Street	northbound,southbound	Derby Street						Tolman Street at Derby Street, northbound and southbound.
Trowbridge Street	westbound	Norwood Avenue						Trowbridge Street at Norwood Avenue, westbound.
Truman Road	northbound,westbound	Mildred Road						Truman Road at Mildred Road, northbound and westbound.
Truman Road	eastbound	Parker Street						Truman Road at Parker Street, eastbound.
Tudor Road	southbound	Beacon Street						Tudor Road at Beacon Street, southbound.
Tudor Road	northbound	Hammond Street						Tudor Road at Hammond Street, northbound.
Turner Street	eastbound	Central Avenue						Turner Street at Central Avenue, eastbound.
Turner Terrace	westbound	Central Avenue						Turner Terrace at Central Avenue, westbound.
Tyler Terrace	westbound	Pleasant Street						Tyler Terrace at Pleasant Street, westbound.
Union Street	eastbound	Langley Road						Union Street at Langley Road, eastbound.
Upland Avenue	northbound	Dedham Street						Upland Avenue at Dedham Street, northbound.
Upland Avenue	northbound,southbound	Heatherland Road						Upland Avenue at Heatherland Road, northbound and southbound.
Upland Avenue	southbound	Rachel Road						Upland Avenue at Rachel Road, southbound.
Upland Road	southwestbound	Mill Street						Upland Road at Mill Street, southwestbound.
Upland Road	southbound	Woodward Street						Upland Road at Woodward Street, southbound.
Valentine Park	northbound	Valentine Street						Valentine Park at Valentine Street, northbound.
Valentine Street	southbound	Commonwealth Avenue, North Drive						Valentine Street at Commonwealth Avenue, North Drive, southbound.
Valentine Street	southbound	Commonwealth Avenue, South Drive						Valentine Street at Commonwealth Avenue, South Drive, southbound.
Varick Road	northbound	Beacon Street						Varick Road at Beacon Street, northbound.
Vernon Street	westbound	Centre Street						Vernon Street at Centre Street, westbound.
Vernon Street	westbound	Eldredge Street						Vernon Street at Eldredge Street, westbound.
Vernon Street	eastbound	Park Street						Vernon Street at Park Street, eastbound.
Vernon Street	westbound	Waverley Avenue						Vernon Street at Waverley Avenue, westbound.
Vine Street	northbound	Brookline Street						Vine Street at Brookline Street, northbound.
Vine Street	eastbound	Lagrange Street						Vine Street at Lagrange Street, eastbound.
Vista Avenue	northbound	Woodland Road						Vista Avenue at Woodland Road, northbound.
Waban Avenue	eastbound,westbound	Crofton Road (both roadways)						Waban Avenue at Crofton Road (both roadways), eastbound and westbound.
Waban Avenue (two-way portion, westbound direction)	westbound	Waban Avenue (one-way southbound portion)						Waban Avenue (two-way portion, westbound direction) at Waban Avenue (one-way southbound portion).
Waban Avenue	southbound	Waban Avenue	120	south	Manitoba Road		offset approximate in source; unclosed parenthesis in source	Waban Avenue at Waban Avenue, southbound (approximately 120 feet south of Manitoba Road.
Waban Hill Road	southbound	Commonwealth Avenue, North Drive						Waban Hill Road at Commonwealth Avenue, North Drive, southbound.
Waban Street	eastbound,westbound	Jewett Street						Waban Street at Jewett Street, eastbound and westbound.
Waban Street	northbound	Pearl Street						Waban Street at Pearl Street, northbound.
Waban Street	eastbound	Thornton Street						Waban Street at Thornton Street, eastbound.
Wachusett Road	westbound	Hobart Road						Wachusett Road at Hobart Road, westbound.
Wachusett Road	northeastbound	Monadnock Road						Wachusett Road at Monadnock Road, northeastbound.
Wachusett Road	southwestbound	Monadnock Road						Wachusett Road at Monadnock Road, southwestbound.
Walden Street	southbound	Highland Street						Walden Street at Highland Street, southbound.
Walker Street	northbound	Page Road						Walker Street at Page Road, northbound.
Walker Street	southbound	Washington Street						Walker Street at Washington Street, southbound.
Wallace Street	eastbound	Winchester Street						Wallace Street at Winchester Street, eastbound.
Walnut Hill Road	eastbound	Elinor Road						Walnut Hill Road at Elinor Road, eastbound.
Walnut Hill Road	northbound,southbound	Parker Avenue						Walnut Hill Road at Parker Avenue, northbound and southbound.
Walnut Hill Road	westbound	Woodcliff Road						Walnut Hill Road at Woodcliff Road, westbound.
Walnut Park	southbound	Washington Street						Walnut Park at Washington Street, southbound.
Walnut Place	eastbound	Walnut Street				Ward 2		Walnut Place at Walnut Street, eastbound (Ward 2).
Walnut Place	westbound,eastbound	Walnut Street				Ward 5		Walnut Place at Walnut Street, westbound and eastbound (Ward 5).
Walnut Street	southbound	Boylston Street (westbound roadway)						Walnut Street at Boylston Street (westbound roadway), southbound.
Walnut Street	northbound	Boylston Street (eastbound roadway)						Walnut Street at Boylston Street (eastbound roadway), northbound.
Walnut Street	northbound	Crafts Street						Walnut Street at Crafts Street, northbound.
Walnut Street	southbound	Dedham Street						Walnut Street at Dedham Street, southbound.
Walnut Street	southeastbound	Newtonville Avenue						Walnut Street at Newtonville Avenue, southeastbound.
Walsingham Street	eastbound	Washington Street						Walsingham Street at Washington Street, eastbound.
Walter Street	southeastbound	Jackson Street						Walter Street at Jackson Street, southeastbound.
Walter Street	westbound	Parker Street						Walter Street at Parker Street, westbound.
Waltham Street	northwestbound					at triangle facing Waltham; opposite Lyme Road		Waltham Street at triangle facing Waltham, opposite Lyme Road, northwestbound.
Ward Street	eastbound	Hammond Street/Woodchester Drive						Ward Street at Hammond Street/Woodchester Drive, eastbound.
Ward Street	eastbound	Manet Road						Ward Street at Manet Road, eastbound.
Ward Street	westbound	Morseland Avenue						Ward Street at Morseland Avenue, westbound.
Ware Road	eastbound	Melrose Street						Ware Road at Melrose Street, eastbound.
Warren Street	westbound	Glen Avenue						Warren Street at Glen Avenue, westbound.
Warren Street	westbound	Langley Road						Warren Street at Langley Road, westbound.
Washburn Avenue	southbound	Auburndale Avenue						Washburn Avenue at Auburndale Avenue, southbound.
Washburn Street	northeastbound,southwestbound	Capital Street						Washburn Street at Capital Street, northeastbound and southwestbound.
Washburn Street	southwestbound	Pearl Street						Washburn Street at Pearl Street, southwestbound.
Washington Avenue	eastbound	Parmenter Road						Washington Avenue at Parmenter Road, eastbound.
Washington Park	westbound	Walnut Street						Washington Park at Walnut Street, westbound.
Washington Terrace	southbound	Washington Street						Washington Terrace and Washington Street, southbound.
Water Street	northbound	Commonwealth Avenue, South Drive						Water Street at Commonwealth Avenue, South Drive, northbound.
Water Street	southbound	Homer Street						Water Street at Homer Street, southbound.
Watertown Street	all	Eddy Street/Eliot Avenue						Watertown Street at Eddy Street/Eliot Avenue, all directions.
