street	direction	entry_type	start_point	end_point	length_miles	offset_miles	speed_mph	source_text	notes
Elliot Street	eastbound	stanza	the Newton-Needham Line		0.49	0.0	25	Elliot Street, eastbound, beginning at the Newton-Needham Line, thence easterly on Elliot Street: 0.49 miles at 25 miles per hour 0.46 miles at 30 miles per hour ending at Route 9; the total distance being 0.95 miles.	segment 1 of 2
Elliot Street	eastbound	stanza		Route 9	0.46	0.49	30	Elliot Street, eastbound, beginning at the Newton-Needham Line, thence easterly on Elliot Street: 0.49 miles at 25 miles per hour 0.46 miles at 30 miles per hour ending at Route 9; the total distance being 0.95 miles.	segment 2 of 2
Elliot Street	westbound	stanza	100 feet west of Route 9		0.44	0.0	30	Elliot Street, westbound, beginning 100 feet west of Route 9, thence westerly on Elliot Street: 0.44 miles at 30 miles per hour 0.49 miles at 25 miles per hour ending at the Newton-Needham Line; the total distance being 0.93 miles.	segment 1 of 2
Elliot Street	westbound	stanza		the Newton-Needham Line	0.49	0.44	25	Elliot Street, westbound, beginning 100 feet west of Route 9, thence westerly on Elliot Street: 0.44 miles at 30 miles per hour 0.49 miles at 25 miles per hour ending at the Newton-Needham Line; the total distance being 0.93 miles.	segment 2 of 2
Elm Road	eastbound	stanza	Lowell Avenue	Walnut Street	0.24	0.0	25	Elm Road, eastbound, beginning at Lowell Avenue, thence easterly on Elm Road: 0.24 miles at 25 miles per hour ending at Walnut Street; the total distance being 0.24 miles.	
Elm Road	westbound	stanza	Walnut Street	Lowell Avenue	0.24	0.0	25	Elm Road, westbound, beginning at Walnut Street, thence westerly on Elm Road: 0.24 miles at 25 miles per hour ending at Lowell Avenue; the total distance being 0.24 miles.	
Elm Street	northbound	stanza	Washington Street	River Street	0.28	0.0	30	Elm Street, northbound, beginning at Washington Street, thence northerly on Elm Street: 0.28 miles at 30 miles per hour ending at River Street; the total distance being 0.28 miles.	
Elm Street	southbound	stanza	River Street	Washington Street	0.28	0.0	30	Elm Street, southbound, beginning at River Street, thence southerly on Elm Street: 0.28 miles at 30 miles per hour ending at Washington Street; the total distance being 0.28 miles.	
Fairway Drive	eastbound	stanza	100 feet east of Waltham Street	Watertown Street	0.4	0.0	25	Fairway Drive, eastbound, beginning 100 feet east of Waltham Street, thence easterly on Fairway Drive: 0.40 miles at 25 miles per hour ending at Watertown Street; the total distance being 0.40 miles.	
Fairway Drive	westbound	stanza	100 feet west of Watertown Street	Waltham Street	0.4	0.0	25	Fairway Drive, westbound, beginning 100 feet west of Watertown Street, thence westerly on Fairway Drive: 0.40 miles at 25 miles per hour ending at Waltham Street; the total distance being 0.40 miles.	
Farlow Road	eastbound	stanza	Waverley Avenue		0.27	0.0	25	Farlow Road, eastbound, beginning at Waverley Avenue, thence easterly on Farlow Road: 0.27 miles at 25 miles per hour 0.06 miles at 15 miles per hour ending at Chamberlain Road; the total distance being 0.33 miles.	segment 1 of 2
Farlow Road	eastbound	stanza		Chamberlain Road	0.06	0.27	15	Farlow Road, eastbound, beginning at Waverley Avenue, thence easterly on Farlow Road: 0.27 miles at 25 miles per hour 0.06 miles at 15 miles per hour ending at Chamberlain Road; the total distance being 0.33 miles.	segment 2 of 2
Farlow Road	westbound	stanza	Chamberlain Road		0.1	0.0	15	Farlow Road, westbound, beginning at Chamberlain Road, thence westerly on Farlow Road: 0.10 miles at 15 miles per hour 0.23 miles at 25 miles per hour ending at Waverley Avenue; the total distance being 0.33 miles.	segment 1 of 2
Farlow Road	westbound	stanza		Waverley Avenue	0.23	0.1	25	Farlow Road, westbound, beginning at Chamberlain Road, thence westerly on Farlow Road: 0.10 miles at 15 miles per hour 0.23 miles at 25 miles per hour ending at Waverley Avenue; the total distance being 0.33 miles.	segment 2 of 2
Faxon Street	northbound	stanza	Watertown Street	Jasset Street	0.06	0.0	25	Faxon Street, northbound, beginning at Watertown Street, thence northerly on Faxon Street: 0.06 miles at 25 miles per hour ending at Jasset Street, the total distance being 0.06 miles.	
Faxon Street	southbound	stanza	California Street	Watertown Street	0.27	0.0	25	Faxon Street, southbound, beginning at California Street, thence southerly on Faxon Street: 0.27 miles at 25 miles per hour ending at Watertown Street, the total distance being 0.27 miles.	
Florence Street	eastbound	stanza	Boylston Street (Route 9)	the Newton-Brookline Town Line	0.42	0.0	30	Florence Street, eastbound, beginning at the junction of Boylston Street (Route 9), thence easterly on Florence 0.42 miles at 30 miles per hour ending at the Newton-Brookline Town Line; the total distance being 0.42 miles.	
Florence Street	westbound	stanza	the Newton-Brookline Town Line	Boylston Street (Route 9)	0.42	0.0	30	Florence Street, westbound, beginning at the Newton-Brookline Town Line, thence westerly on Florence Street: 0.42 miles at 30 miles per hour ending at the junction of Boylston Street (Route 9); the total distance being 0.42 miles.	
Goddard Street	westbound	stanza	Winchester Street	Christina Street	0.21	0.0	30	Goddard Street, westbound, beginning at Winchester Street, thence westerly on Goddard Street: 0.21 miles at 30 miles per hour ending at Christina Street, the total distance being 0.21 miles.	
Goddard Street	eastbound	stanza	Christina Street	Winchester Street	0.21	0.0	30	Goddard Street, eastbound, beginning at Christina Street, thence easterly on Goddard Street: 0.21 miles at 30 miles per hour ending at Winchester Street; the total distance being 0.21 miles.	
Gordon Road	northbound	stanza	Beacon Street	Chestnut Street	0.35	0.0	25	Gordon Road, northbound, beginning at Beacon Street, thence northerly on Gordon Road: 0.35 miles at 25 miles per hour ending at Chestnut Street; the total distance being 0.35 miles.	
Gordon Road	southbound	stanza	Chestnut Street	Beacon Street	0.35	0.0	25	Gordon Road, southbound, beginning at Chestnut Street, thence southerly on Gordon Road: 0.35 miles at 25 miles per hour ending at Beacon Street; the total distance being 0.35 miles.	
Grant Avenue	northbound	stanza	100 feet north of Beacon Street	Ward Street	0.6	0.0	25	Grant Avenue, northbound, beginning 100 feet north of Beacon Street, thence northerly on Grant Avenue: 0.60 miles at 25 miles per hour ending at Ward Street; the total distance being 0.60 miles.	
Grant Avenue	southbound	stanza	100 feet south of Ward Street	Beacon Street	0.6	0.0	25	Grant Avenue, southbound, beginning 100 feet south of Ward Street, thence northerly on Grant Avenue: 0.60 miles at 25 miles per hour ending at Beacon Street; the total distance being 0.60 miles.	
Greenlawn Avenue	northbound	stanza	Hancock Street	Homer Street	0.28	0.0	25	Greenlawn Avenue, northbound, beginning at Hancock Street, thence northerly on Greenlawn Avenue: 0.28 miles at 25 miles per hour ending at Homer Street; the total distance being 0.28 miles.	
Greenlawn Avenue	southbound	stanza	Homer Street	Hancock Street	0.28	0.0	25	Greenlawn Avenue, southbound, beginning at Homer Street, thence southerly on Greenlawn Avenue: 0.28 miles at 25 miles per hour ending at Hancock Street; the total distance being 0.28 miles.	
Grove Street	northbound	stanza	Washington Street		0.53	0.0	25	Grove Street, northbound, beginning at Washington Street, thence northerly on Grove Street: 0.53 miles at 25 miles per hour 0.56 miles at 30 miles per hour 0.50 miles at 25 miles per hour ending at Central Street; the total distance being 1.59 miles.	segment 1 of 3
Grove Street	northbound	stanza			0.56	0.53	30	Grove Street, northbound, beginning at Washington Street, thence northerly on Grove Street: 0.53 miles at 25 miles per hour 0.56 miles at 30 miles per hour 0.50 miles at 25 miles per hour ending at Central Street; the total distance being 1.59 miles.	segment 2 of 3
Grove Street	northbound	stanza		Central Street	0.5	1.09	25	Grove Street, northbound, beginning at Washington Street, thence northerly on Grove Street: 0.53 miles at 25 miles per hour 0.56 miles at 30 miles per hour 0.50 miles at 25 miles per hour ending at Central Street; the total distance being 1.59 miles.	segment 3 of 3
Grove Street	southbound	stanza	Central Street		0.5	0.0	25	Grove Street, southbound, beginning at Central Street, thence southerly on Grove Street: 0.50 miles at 25 miles per hour 0.56 miles at 30 miles per hour 0.36 miles at 25 miles per hour ending at Hagar Street; the total distance being 1.42 miles.	segment 1 of 3
Grove Street	southbound	stanza			0.56	0.5	30	Grove Street, southbound, beginning at Central Street, thence southerly on Grove Street: 0.50 miles at 25 miles per hour 0.56 miles at 30 miles per hour 0.36 miles at 25 miles per hour ending at Hagar Street; the total distance being 1.42 miles.	segment 2 of 3
Grove Street	southbound	stanza		Hagar Street	0.36	1.06	25	Grove Street, southbound, beginning at Central Street, thence southerly on Grove Street: 0.50 miles at 25 miles per hour 0.56 miles at 30 miles per hour 0.36 miles at 25 miles per hour ending at Hagar Street; the total distance being 1.42 miles.	segment 3 of 3
Hartman Road	eastbound	stanza	Meadowbrook Road		0.49	0.0	25	Hartman Road, eastbound, beginning at Meadowbrook Road, thence easterly on Hartman Road: 0.49 miles at 25 miles per hour 0.41 miles at 20 miles per hour ending at Brookline Street; the total distance being 0.90 miles.	segment 1 of 2
Hartman Road	eastbound	stanza		Brookline Street	0.41	0.49	20	Hartman Road, eastbound, beginning at Meadowbrook Road, thence easterly on Hartman Road: 0.49 miles at 25 miles per hour 0.41 miles at 20 miles per hour ending at Brookline Street; the total distance being 0.90 miles.	segment 2 of 2
Hartman Road	westbound	stanza	Brookline Street		0.41	0.0	20	Hartman Road, westbound, beginning at Brookline Street, thence westerly on Hartman Road: 0.41 miles at 20 miles per hour 0.49 miles at 25 miles per hour ending at Meadowbrook Road; the total distance being 0.90 miles.	segment 1 of 2
Hartman Road	westbound	stanza		Meadowbrook Road	0.49	0.41	25	Hartman Road, westbound, beginning at Brookline Street, thence westerly on Hartman Road: 0.41 miles at 20 miles per hour 0.49 miles at 25 miles per hour ending at Meadowbrook Road; the total distance being 0.90 miles.	segment 2 of 2
Huntington Road	eastbound	stanza	Farlow Road	Chamberlain Road	0.13	0.0	25	Huntington Road, eastbound, beginning at Farlow Road, thence easterly on Huntington Road: 0.13 miles at 25 miles per hour ending at Chamberlain Road; the total distance being 0.13 miles.	
Huntington Road	westbound	stanza	Chamberlain Road	Farlow Road	0.13	0.0	25	Huntington Road, westbound, beginning at Chamberlain Road, thence westerly on Huntington Road: 0.13 miles at 25 miles per hour ending at Farlow Road; the total distance being 0.13 miles.	
Jasset Street	northbound	stanza	Faxon Street	California Street	0.19	0.0	25	Jasset Street, northbound, beginning at Faxon Street, thence northerly on Jasset Street: 0.19 miles at 25 miles per hour ending at California Street, the total distance being 0.19 miles.	
LaGrange Street	northbound	stanza	the Newton-Boston Line	the Newton-Brookline Line	0.39	0.0	30	LaGrange Street, northbound, beginning at the Newton-Boston Line, thence northerly on LaGrange Street: 0.39 miles at 30 miles per hour ending at the Newton-Brookline Line the total distance being 0.39 miles.	
LaGrange Street	southbound	stanza	the Brookline-Newton Line	the Newton-Boston Line	0.39	0.0	30	LaGrange Street, southbound, beginning at the Brookline-Newton Line, thence southerly on LaGrange Street: 0.39 miles at 30 miles per hour ending at the Newton-Boston Line; the total distance being 0.39 miles. 0.39 miles at 30 miles per hour ending at the Newton-Boston Line; the total distance being 0.39 miles.	
Lake Avenue	northbound	stanza	Walnut Street		0.27	0.0	25	Lake Avenue, northbound, beginning at Walnut Street, thence northerly on Lake Avenue: 0.27 miles at 25 miles per hour 0.11 miles at 15 miles per hour 0.32 miles at 25 miles per hour 0.10 miles at 15 miles per hour ending at Beacon Street; the total distance being 0.80 miles.	segment 1 of 4
Lake Avenue	northbound	stanza			0.11	0.27	15	Lake Avenue, northbound, beginning at Walnut Street, thence northerly on Lake Avenue: 0.27 miles at 25 miles per hour 0.11 miles at 15 miles per hour 0.32 miles at 25 miles per hour 0.10 miles at 15 miles per hour ending at Beacon Street; the total distance being 0.80 miles.	segment 2 of 4
Lake Avenue	northbound	stanza			0.32	0.38	25	Lake Avenue, northbound, beginning at Walnut Street, thence northerly on Lake Avenue: 0.27 miles at 25 miles per hour 0.11 miles at 15 miles per hour 0.32 miles at 25 miles per hour 0.10 miles at 15 miles per hour ending at Beacon Street; the total distance being 0.80 miles.	segment 3 of 4
Lake Avenue	northbound	stanza		Beacon Street	0.1	0.7	15	Lake Avenue, northbound, beginning at Walnut Street, thence northerly on Lake Avenue: 0.27 miles at 25 miles per hour 0.11 miles at 15 miles per hour 0.32 miles at 25 miles per hour 0.10 miles at 15 miles per hour ending at Beacon Street; the total distance being 0.80 miles.	segment 4 of 4
Lake Avenue	southbound	stanza	Beacon Street		0.1	0.0	15	Lake Avenue, southbound, beginning at Beacon Street, thence southerly on Lake Street: 0.10 miles at 15 miles per hour 0.32 miles at 25 miles per hour 0.11 miles at 15 miles per hour 0.27 miles at 25 miles per hour ending at Walnut Street; the total distance being 0.80 miles.	segment 1 of 4
Lake Avenue	southbound	stanza			0.32	0.1	25	Lake Avenue, southbound, beginning at Beacon Street, thence southerly on Lake Street: 0.10 miles at 15 miles per hour 0.32 miles at 25 miles per hour 0.11 miles at 15 miles per hour 0.27 miles at 25 miles per hour ending at Walnut Street; the total distance being 0.80 miles.	segment 2 of 4
Lake Avenue	southbound	stanza			0.11	0.42	15	Lake Avenue, southbound, beginning at Beacon Street, thence southerly on Lake Street: 0.10 miles at 15 miles per hour 0.32 miles at 25 miles per hour 0.11 miles at 15 miles per hour 0.27 miles at 25 miles per hour ending at Walnut Street; the total distance being 0.80 miles.	segment 3 of 4
