street	direction	entry_type	start_point	end_point	length_miles	offset_miles	speed_mph	source_text	notes
Tremont Street	westbound	table	Boston City Line	42.354398, -71.179542			35	Tremont Street westbound: Boston City Line to 42.354398, -71.179542, 35 mph	
Tremont Street	westbound	table	42.354398, -71.179542	Park Street			25	Tremont Street westbound: 42.354398, -71.179542 to Park Street, 25 mph	
Washington Street	eastbound	table	Wellesley Town Line	Quinobequin Road			25	Washington Street eastbound: Wellesley Town Line to Quinobequin Road, 25 mph	
Washington Street	eastbound	table	Belmore Park	42.330475, -71.248091			25	Washington Street eastbound: Belmore Park to 42.330475, -71.248091, 25 mph	
Washington Street	eastbound	table	42.330475, -71.248091	Prospect Street			35	Washington Street eastbound: 42.330475, -71.248091 to Prospect Street, 35 mph	
Washington Street	eastbound	table	Prospect Street	42.349180, -71.223669			25	Washington Street eastbound: Prospect Street to 42.349180, -71.223669, 25 mph	
Washington Street	eastbound	table	Walnut Park	42.355673, -71.179439			25	Washington Street eastbound: Walnut Park to 42.355673, -71.179439, 25 mph	
Washington Street	eastbound	table	42.355673, -71.179439	Boston City Line			35	Washington Street eastbound: 42.355673, -71.179439 to Boston City Line, 35 mph	
Washington Street	westbound	table	Boston City Line	Hunnewell Avenue			35	Washington Street westbound: Boston City Line to Hunnewell Avenue, 35 mph	
Washington Street	westbound	table	Hunnewell Avenue	Walnut Park			25	Washington Street westbound: Hunnewell Avenue to Walnut Park, 25 mph	
Washington Street	westbound	table	42.349243, -71.223712	Prospect Street			25	Washington Street westbound: 42.349243, -71.223712 to Prospect Street, 25 mph	
Washington Street	westbound	table	Prospect Street	42.330721, -71.248037			35	Washington Street westbound: Prospect Street to 42.330721, -71.248037, 35 mph	
Washington Street	westbound	table	42.330721, -71.248037	Belmore Park			25	Washington Street westbound: 42.330721, -71.248037 to Belmore Park, 25 mph	
Washington Street	westbound	table	Quinobequin Road	Wellesley Town Line			25	Washington Street westbound: Quinobequin Road to Wellesley Town Line, 25 mph	
Watertown Street	eastbound	table	Washington Street	Davis Avenue			25	Watertown Street eastbound: Washington Street to Davis Avenue, 25 mph	
Watertown Street	eastbound	table	Davis Avenue	Crafts Street			35	Watertown Street eastbound: Davis Avenue to Crafts Street, 35 mph	
Watertown Street	eastbound	table	Crafts Street	2.359229, -71.203450			30	Watertown Street eastbound: Crafts Street to 2.359229, -71.203450, 30 mph	source coordinate missing leading digit; likely 42.359229
Watertown Street	eastbound	table	2.359229, -71.203450	Watertown City Line			25	Watertown Street eastbound: 2.359229, -71.203450 to Watertown City Line, 25 mph	source coordinate missing leading digit; likely 42.359229
Watertown Street	westbound	table	Watertown City Line	42.359286, -71.203433			25	Watertown Street westbound: Watertown City Line to 42.359286, -71.203433, 25 mph	
Watertown Street	westbound	table	42.359286, -71.203433	Walnut Street			30	Watertown Street westbound: 42.359286, -71.203433 to Walnut Street, 30 mph	
Watertown Street	westbound	table	Walnut Street	Davis Avenue			35	Watertown Street westbound: Walnut Street to Davis Avenue, 35 mph	
Watertown Street	westbound	table	Davis Avenue	Washington Street			25	Watertown Street westbound: Davis Avenue to Washington Street, 25 mph	
Waverly Avenue	northbound	table	Gralynn Road	Church Street			30	Waverly Avenue northbound: Gralynn Road to Church Street, 30 mph	
Waverly Avenue	northbound	table	Church Street	Washington Street			25	Waverly Avenue northbound: Church Street to Washington Street, 25 mph	
Waverly Avenue	southbound	table	Washington Street	Church Street			25	Waverly Avenue southbound: Washington Street to Church Street, 25 mph	
Waverly Avenue	southbound	table	Church Street	Ward Street			30	Waverly Avenue southbound: Church Street to Ward Street, 30 mph	
Woodward Street	eastbound	table	Pine Ridge Road	Homestead Street			25	Woodward Street eastbound: Pine Ridge Road to Homestead Street, 25 mph	
Woodward Street	eastbound	table	Plymouth Road	State Route 9 (Boylston Street)			25	Woodward Street eastbound: Plymouth Road to State Route 9 (Boylston Street), 25 mph	
Woodward Street	westbound	table	State Route 9 (Boylston Street)	Plymouth Road			25	Woodward Street westbound: State Route 9 (Boylston Street) to Plymouth Road, 25 mph	
Woodward Street	westbound	table	Homestead Street	Beacon Street			25	Woodward Street westbound: Homestead Street to Beacon Street, 25 mph	
