street1,street2,direction,notes
Crehore Drive,Pierrepont Road,eastbound and westbound,
Crescent Avenue,Beacon Street,northbound and southbound,
Crescent Avenue,Norwood Avenue,northbound and southbound,
Crescent Avenue,Pleasant Street,northbound,
Crescent Street,Robinhood Street,northbound,
Crofton Road,Waban Avenue,northbound and southbound,both roadways
Crosby Road,Commonwealth Avenue,northbound,
Crosby Road,Hammond Street,southbound,
Cross Hill Road,Rosalie Road,northbound,
Cross Street,Washington Street,southbound,
Curve Street,Auburn Street,southbound,
Cushing Street,Allerton Road,northbound,
Cushing Street,Centre Street,southbound,
Cypress Street,Jackson Street,southbound,
Cypress Street,Parker Street,northbound,
Dalby Street,Watertown Street,southbound,
Dalton Road,Everett Street,northbound,
Dana Road,Parmenter Road,westbound,
Daniel Street,Jackson Street,eastbound,
Daniel Street,Parker Street,westbound,
Dartmouth Street,Commonwealth Avenue,southbound,North Drive
Dartmouth Street,Commonwealth Avenue,northbound,South Drive
Dartmouth Street,Commonwealth Avenue,southbound,South Drive
Dartmouth Street,Fuller Street,northbound and southbound,
Dartmouth Street,Prince Street,northbound,
David Road,Theodore Road,southbound,
Davis Avenue,Furbush Avenue,westbound,
Davis Avenue,Stoneleigh Road,eastbound,
Davis Avenue,Watertown Street,southbound,
Davis Street,Chestnut Street,eastbound,
Davis Street,Highland Street,westbound,
Day Street,Commonwealth Avenue,northbound,South Drive
Day Street,Washington Street,eastbound,
Dedham Street,Walnut Street,eastbound and westbound,
Derby Street,Waltham Street,eastbound,
Devon Street,Middlesex Road,northbound,
Devonshire Road,Collins Road,northbound,
Dexter Road,Walnut Street,northbound and southbound,
Dickerman Road,Boylston Street,southbound,
Dickerman Road,Lincoln Street,southbound and northbound,
Dorcar Road,Vine Street,northbound,
Druid Hill Road,Upland Avenue,southbound,
Drumlin Road,Dudley Road,northbound,
Drumlin Road,Hartman Road,southbound,
Dudley Road,Boylston Street,northbound,
Dudley Road,Brookline Street,southbound,
Dudley Road,Greenwood Street,northbound and southbound,
Duncklee Street,Manchester Road,eastbound and westbound,
Duncklee Street,Walnut Street,eastbound,
Dunstan Street,Washington Street,southbound,
Dunstan Street,Watertown Street,northbound,
East Side Parkway,Cabot Street,southbound,
East Side Parkway,Newtonville Avenue,northbound,
East Side Parkway,Newtonville Avenue,southbound,on the east side of the channelized island 76 feet south of Newtonville Avenue
Eddy Street,Washington Street,southbound,
Edward Road,Derby Street,southbound,
Eldredge Street,Church Street,northeastbound and southwestbound,
Eldredge Street,Vernon Street,northbound and southbound,
Elgin Street,Glen Avenue,eastbound and westbound,
Elgin Street,Langley Road,westbound,
Elinor Road,Walnut Street,westbound,
Elinor Road,Woodcliff Road,eastbound and westbound,
Elliot Street,Oak Street,eastbound and westbound,
Ellis Road,Valentine Street,eastbound,
Ellis Road,Wauwinet Road,westbound,
Ellis Street,Chestnut Street,eastbound,
Ellis Street,Route 9,northbound,eastbound ramp
Ellison Road,Commonwealth Avenue,northbound,South Drive
Elm Street,River Street,northbound,
Elm Street,Webster Street,northbound and southbound,
Elmhurst Road,Washington Street,southbound,
Elmwood Street,Park Street,eastbound,
Elsworth Road,Parmenter Road,westbound,
Emerson Street,Pearl Street,southbound,
Endicott Street,Plymouth Road,eastbound,
Erie Avenue,Hartford Street,eastbound,
Erie Avenue,Woodward Street,westbound,
Evelyn Road,Paulson Road,northbound and southbound,
Everett Street,Summer Street,westbound,
Executive Park Drive,Washington Street,southbound,
Exeter Street,Commonwealth Avenue,northbound,South Drive
Exeter Street,Commonwealth Avenue,southbound,South Drive
Exeter Street,Commonwealth Avenue,southbound,North Drive
Fair Oaks Avenue,California Street,northbound and southbound,
Fair Oaks Avenue,Fessenden Street,westbound,
Fairfield Street,Bolton Road,southbound and northbound,
Fairlee Road,Woodward Street,northbound,
Fairmont Avenue,Centre Street,eastbound,
Fairway Drive,Bunker Lane,eastbound and westbound,
Fairway Drive,Waltham Street,westbound,
Fairway Drive,Watertown Street,southbound,
Falmouth Road,Parmenter Road,westbound,
Farlow Road,Waverley Avenue,westbound,
Farwell Street,North Street,southbound,southern intersection
Faxon Street,Watertown Street,southbound,
Fellsmere Road,Mandalay Road,northeastbound and southwestbound,
Fenwick Road,Chestnut Street,eastbound,
Fenwick Road,Collins Road,northwestbound,
Fern Street,Hancock Street,eastbound,
Ferncroft Road,Beacon Street,southbound,
Ferncroft Road,Paulson Road,northbound,
Fessenden Street,Crafts Street,southwestbound,
Fessenden Street,Nevada Street,northeastbound,
Fessenden Street,Nevada Street,southwestbound,
Fisher Avenue,Walnut Street,eastbound,
Floral Street,Hyde Street,northeastbound,
Floral Street,Walnut Street,westbound,
Forest Avenue,Highland Street,northbound and southbound,
Forest Avenue,Otis Street,northbound and southbound,
Forest Avenue,Woodland Road,northbound,
Forest Street,Chester Street,eastbound and westbound,
Forest Street,Columbus Street,eastbound and westbound,
Foster Street,Chester Street,eastbound and westbound,
Fountain Street,Highland Street,southbound and northbound,
Fountain Street,Valentine Street,westbound,
Fox Lane,Arnold Road,westbound,
Fox Lane,Meadowbrook Road,eastbound,
Fox Place,Arnold Road,eastbound,
Franklin Street,Centre Street,westbound,
Franklin Street,Waverley Avenue,eastbound and westbound,
Franklin Street,Park Street,all directions,
Franklin Street,Park Street,eastbound and westbound,eastern intersection
Fredette Road,Sawmill Brook Parkway,northwestbound,
Fredette Road,Spiers Road,southeastbound,
Freeman Street,Staniford Street,northbound,
Fuller Street,Chestnut Street,eastbound and westbound,
Fuller Street,Commonwealth Avenue,northbound,South Drive (eastern intersection)
Fuller Street,Commonwealth Avenue,northwestbound,South Drive (western intersection)
Fuller Street,Evelyn Road,eastbound,
Fuller Street,Parmenter Road,eastbound,
Furber Lane,Commonwealth Avenue,northbound,South Drive
Furbush Avenue,Adella Avenue and Orchard Avenue,eastbound,
Furbush Avenue,Davis Avenue and Stoneleigh Road,westbound,
Garden Road,Centre Street,westbound,
Gardner Street,Pearl Street,southbound,
Gardner Street,School Street,eastbound,
Garland Road,Brentwood Avenue,northbound and southbound,
